"Year","County","Commodity","Crop","ACRES HARVESTED","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE"
"1950","AITKIN","BARLEY","BARLEY","600","16,200","27"
"1950","AITKIN","CORN","CORN, GRAIN","4,800","72,000","15"
"1950","AITKIN","FLAXSEED","FLAXSEED","1,000","7,000","7"
"1950","AITKIN","HAY","HAY","49,200","N/A","N/A"
"1950","AITKIN","OATS","OATS","7,900","213,300","27"
"1950","AITKIN","RYE","RYE","50","750","15"
"1950","AITKIN","SOYBEANS","SOYBEANS","100","700","7"
"1950","AITKIN","WHEAT","WHEAT","150","1,980","13.2"
"1950","AITKIN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","30","540","18"
"1950","AITKIN","WHEAT","WHEAT, SPRING, DURUM","10","120","12"
"1950","AITKIN","WHEAT","WHEAT, WINTER","110","1,320","12"
"1950","ANOKA","BARLEY","BARLEY","130","3,250","25"
"1950","ANOKA","CORN","CORN, GRAIN","20,400","571,200","28"
"1950","ANOKA","FLAXSEED","FLAXSEED","10","100","10"
"1950","ANOKA","HAY","HAY","23,500","N/A","N/A"
"1950","ANOKA","OATS","OATS","8,700","243,600","28"
"1950","ANOKA","RYE","RYE","7,900","126,400","16"
"1950","ANOKA","SOYBEANS","SOYBEANS","1,200","8,400","7"
"1950","ANOKA","WHEAT","WHEAT","530","9,860","18.6"
"1950","ANOKA","WHEAT","WHEAT, SPRING, (EXCL DURUM)","80","960","12"
"1950","ANOKA","WHEAT","WHEAT, SPRING, DURUM","20","300","15"
"1950","ANOKA","WHEAT","WHEAT, WINTER","430","8,600","20"
"1950","BECKER","BARLEY","BARLEY","16,700","501,000","30"
"1950","BECKER","CORN","CORN, GRAIN","34,200","889,200","26"
"1950","BECKER","FLAXSEED","FLAXSEED","15,700","157,000","10"
"1950","BECKER","HAY","HAY","75,200","N/A","N/A"
"1950","BECKER","OATS","OATS","67,100","2,281,400","34"
"1950","BECKER","RYE","RYE","380","4,180","11"
"1950","BECKER","SOYBEANS","SOYBEANS","1,300","11,700","9"
"1950","BECKER","WHEAT","WHEAT","18,880","282,600","15"
"1950","BECKER","WHEAT","WHEAT, SPRING, (EXCL DURUM)","18,100","271,500","15"
"1950","BECKER","WHEAT","WHEAT, SPRING, DURUM","490","5,900","12"
"1950","BECKER","WHEAT","WHEAT, WINTER","290","5,200","17.9"
"1950","BELTRAMI","BARLEY","BARLEY","2,600","62,400","24"
"1950","BELTRAMI","CORN","CORN, GRAIN","4,500","94,500","21"
"1950","BELTRAMI","FLAXSEED","FLAXSEED","5,500","52,200","9.5"
"1950","BELTRAMI","HAY","HAY","46,600","N/A","N/A"
"1950","BELTRAMI","OATS","OATS","17,600","633,600","36"
"1950","BELTRAMI","RYE","RYE","310","4,030","13"
"1950","BELTRAMI","WHEAT","WHEAT","1,230","21,450","17.4"
"1950","BELTRAMI","WHEAT","WHEAT, SPRING, (EXCL DURUM)","1,000","18,000","18"
"1950","BELTRAMI","WHEAT","WHEAT, SPRING, DURUM","40","600","15"
"1950","BELTRAMI","WHEAT","WHEAT, WINTER","190","2,850","15"
"1950","BENTON","BARLEY","BARLEY","500","9,500","19"
"1950","BENTON","CORN","CORN, GRAIN","33,800","709,800","21"
"1950","BENTON","FLAXSEED","FLAXSEED","150","1,130","7.5"
"1950","BENTON","HAY","HAY","36,200","N/A","N/A"
"1950","BENTON","OATS","OATS","40,200","804,000","20"
"1950","BENTON","RYE","RYE","8,000","136,000","17"
"1950","BENTON","SOYBEANS","SOYBEANS","1,300","10,400","8"
"1950","BENTON","WHEAT","WHEAT","620","7,100","11.5"
"1950","BENTON","WHEAT","WHEAT, SPRING, (EXCL DURUM)","420","4,200","10"
"1950","BENTON","WHEAT","WHEAT, SPRING, DURUM","50","500","10"
"1950","BENTON","WHEAT","WHEAT, WINTER","150","2,400","16"
"1950","BIG STONE","BARLEY","BARLEY","11,300","305,100","27"
"1950","BIG STONE","CORN","CORN, GRAIN","54,300","2,009,100","37"
"1950","BIG STONE","FLAXSEED","FLAXSEED","31,300","297,400","9.5"
"1950","BIG STONE","HAY","HAY","25,200","N/A","N/A"
"1950","BIG STONE","OATS","OATS","48,400","1,403,600","29"
"1950","BIG STONE","RYE","RYE","5,800","87,000","15"
"1950","BIG STONE","SOYBEANS","SOYBEANS","8,500","110,500","13"
"1950","BIG STONE","WHEAT","WHEAT","20,300","279,900","13.8"
"1950","BIG STONE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","18,700","261,800","14"
"1950","BIG STONE","WHEAT","WHEAT, SPRING, DURUM","700","9,100","13"
"1950","BIG STONE","WHEAT","WHEAT, WINTER","900","9,000","10"
"1950","BLUE EARTH","BARLEY","BARLEY","11,400","342,000","30"
"1950","BLUE EARTH","CORN","CORN, GRAIN","119,800","5,990,000","50"
"1950","BLUE EARTH","FLAXSEED","FLAXSEED","9,200","119,600","13"
"1950","BLUE EARTH","HAY","HAY","30,700","N/A","N/A"
"1950","BLUE EARTH","OATS","OATS","83,400","4,170,000","50"
"1950","BLUE EARTH","RYE","RYE","800","15,200","19"
"1950","BLUE EARTH","SOYBEANS","SOYBEANS","75,000","1,575,000","21"
"1950","BLUE EARTH","WHEAT","WHEAT","3,870","95,660","24.7"
"1950","BLUE EARTH","WHEAT","WHEAT, SPRING, (EXCL DURUM)","2,000","44,000","22"
"1950","BLUE EARTH","WHEAT","WHEAT, SPRING, DURUM","70","1,260","18"
