Code,Latitude,Longitude
72655,45.5466,-94.0599
72747,48.5667,-93.4
72658,44.8667,-93.05
72745,46.8333,-92.2167
KAXN0,45.8663,-95.3947
KHIB0,47.3866,-92.839
KSTP0,44.9346,-93.0603
KBDE0,48.7284,-94.6122
KPKD0,46.9007,-95.0731
KCFE0,45.1592,-93.8433
KFFM0,46.2844,-96.1567
KPEX0,45.3721,-94.7447
KACQ0,44.0735,-93.5529
KADC0,46.4503,-95.211
KAIT0,46.5484,-93.6768
KAQP0,45.2275,-96.0043
KAUM0,43.6626,-92.9329
KBBB0,45.3319,-95.6506
KBFW0,47.249,-91.4156
KBRD0,46.4017,-94.1356
KCBG0,45.5575,-93.2642
KCKC0,47.8383,-90.3829
KCKN0,47.8417,-96.6215
KCOQ0,46.7011,-92.5036
KCQM0,47.8218,-92.6906
KDTL0,46.8252,-95.8856
KDXX0,44.9864,-96.1778
KDYT0,46.7219,-92.0434
KELO0,47.8246,-91.8307
KETH0,45.7805,-96.5439
KEVM0,47.4251,-92.4981
KFBL0,44.3275,-93.3107
KFGN0,49.3183,-94.9028
KFKA0,43.6767,-92.1797
KFOZ0,47.7828,-93.6502
KFRM0,43.6439,-94.4156
KFSE0,47.5928,-95.7735
KGHW0,45.6439,-95.3204
KGNA0,47.7472,-90.3444
KGPZ0,47.2093,-93.5099
KHCD0,44.8599,-94.3825
KHCO0,48.7527,-96.943
KHZX0,46.6188,-93.3098
KJKJ0,46.8393,-96.664
KJMR0,45.8861,-93.2718
KLJF0,45.1,-94.5
KLVN0,44.6279,-93.2281
KLXL0,45.9494,-94.3471
KMGG0,45.236,-93.9856
KMIC0,45.062,-93.3539
KMJQ0,43.65,-94.9865
KMKT0,44.2228,-93.9193
KMML0,44.4517,-95.8244
KMOX0,45.566,-95.9672
KMVE0,44.9691,-95.7103
KMWM0,43.9134,-95.1094
KMZH0,46.4186,-92.8048
KONA0,44.0772,-91.7083
KORB0,48.0159,-92.8561
KOTG0,43.6551,-95.5792
KOVL0,44.7786,-95.0328
KOWA0,44.123,-93.2588
KPNM0,45.5599,-93.6082
KPQN0,43.9833,-96.3003
KPWC0,46.7248,-94.3817
KRGK0,44.5894,-92.485
KROS0,45.6971,-92.9522
KRRT0,48.9415,-95.3485
KSAZ0,46.3809,-94.8066
KSGS0,44.8571,-93.0329
KTOB0,44.018,-92.8315
KULM0,44.3197,-94.5023
KVVV0,45.3057,-96.4244
KAEL0,43.6815,-93.3672
KFCM0,44.8275,-93.4586
KGYL0,44.756,-94.0812
KXVG0,47,-94.2
KJYG0,43.9863,-94.5579
KTWM0,47.0491,-91.7452
KGDB0,44.7533,-95.556
KLYV0,43.6168,-96.2177
KSYN0,44.4755,-93.0163
KTKC0,44.2491,-95.6073
KCDD0,48.2666,-92.4835
KCNB0,44.7295,-96.266
KBDH0,45.117,-95.1293
KRYM0,46.0912,-94.3605
KY630,45.9861,-95.992
KD390,45.7066,-94.9334
KY490,47.1596,-94.6454
P6529,48.85,-95.7
UYB6K,48.0667,-96.1833
X9FED,48.1501,-94.512
9NRIJ,45.1426,-93.2127
Z7ZOG,44.5483,-95.0804
72644,43.9,-92.5
72755,47.5,-94.9333
