Station Code,Capital,County,Distance,Station Lat,Station Lon,Capital Lat,Capital Lon
72655,St. Cloud,Stearns County,8.290781633765086,45.5466,-94.0599,45.5616075,-94.1642004
72747,International Falls,Koochiching County,3.8963248562540986,48.5667,-93.4,48.601033,-93.4105904
72658,Saint Paul,Ramsey County,9.838701203038356,44.8667,-93.05,44.9497487,-93.0931028
72745,Duluth,Saint Louis County,9.677024899008446,46.8333,-92.2167,46.7729322,-92.1251218
KAXN0,Alexandria,Douglas County,2.471301602252745,45.8663,-95.3947,45.8835101,-95.3745015
KHIB0,Grand Rapids,Itasca County,54.69609983478741,47.3866,-92.839,47.237166,-93.530214
KSTP0,Saint Paul,Ramsey County,3.0826894010773964,44.9346,-93.0603,44.9497487,-93.0931028
KBDE0,Baudette,Lake of the Woods County,1.9818766432426338,48.7284,-94.6122,48.7124408,-94.600171
KPKD0,Park Rapids,Hubbard County,2.6293004425956275,46.9007,-95.0731,46.9221813,-95.0586322
KCFE0,Buffalo,Wright County,2.838086563811997,45.1592,-93.8433,45.1719084,-93.8746941
KFFM0,Fergus Falls,Otter Tail County,6.083653965730529,46.2844,-96.1567,46.283015,-96.077558
KPEX0,Litchfield,Meeker County,32.082773254597804,45.3721,-94.7447,45.1271847,-94.5280474
KACQ0,Waseca,Waseca County,6.876485200050484,44.0735,-93.5529,44.0172242,-93.5885717
KADC0,Wadena,Wadena County,24.321718085275137,46.4503,-95.211,46.5850936,-94.9606684
KAIT0,Aitkin,Aitkin County,22.475590096362204,46.5484,-93.6768,46.5714822,-93.3847595
KAQP0,Madison,Lac qui Parle County,28.5054401327866,45.2275,-96.0043,45.009685,-96.195877
KAUM0,Austin,Mower County,3.4006298394788073,43.6626,-92.9329,43.6680928,-92.9744896
KBBB0,Benson,Swift County,4.379064369162051,45.3319,-95.6506,45.3149604,-95.6000349
KBFW0,Two Harbors,Lake County,31.55410524160427,47.249,-91.4156,47.0257139,-91.6730523
KBRD0,Brainerd,Crow Wing County,6.973196391930841,46.4017,-94.1356,46.3580221,-94.2008288
KCBG0,Cambridge,Isanti County,3.5320583005442145,45.5575,-93.2642,45.5727408,-93.2243921
KCKC0,Grand Marais,Cook County,10.40977853178202,47.8383,-90.3829,47.750467,-90.334675
KCKN0,Crookston,Polk County,7.594088598333796,47.8417,-96.6215,47.7739988,-96.6081167
KCOQ0,Carlton,Carlton County,21.35132438141371,46.7011,-92.5036,46.5799933,-92.7206334
KCQM0,Grand Rapids,Itasca County,90.55222187670587,47.8218,-92.6906,47.237166,-93.530214
KDTL0,Detroit Lakes,Becker County,3.1915422464165206,46.8252,-95.8856,46.817181,-95.845325
KDXX0,Madison,Lac qui Parle County,2.953667435549971,44.9864,-96.1778,45.009685,-96.195877
KDYT0,Duluth,Saint Louis County,8.424405533506432,46.7219,-92.0434,46.7729322,-92.1251218
KELO0,Two Harbors,Lake County,89.62020461762022,47.8246,-91.8307,47.0257139,-91.6730523
KETH0,Wheaton,Traverse County,4.3656271005033584,45.7805,-96.5439,45.804405,-96.499233
KEVM0,Two Harbors,Lake County,76.50987096039208,47.4251,-92.4981,47.0257139,-91.6730523
KFBL0,Owatonna,Steele County,27.90359485569662,44.3275,-93.3107,44.0839937,-93.2261076
KFGN0,Baudette,Lake of the Woods County,70.89130345926642,49.3183,-94.9028,48.7124408,-94.600171
KFKA0,Preston,Fillmore County,7.792982976068207,43.6767,-92.1797,43.6702423,-92.0832157
KFOZ0,Grand Rapids,Itasca County,61.33735102496057,47.7828,-93.6502,47.237166,-93.530214
KFRM0,Fairmont,Martin County,3.7735461141924063,43.6439,-94.4156,43.6521775,-94.4610832
KFSE0,Mahnomen,Mahnomen County,29.232067062152257,47.5928,-95.7735,47.3313602,-95.8142911
KGHW0,Glenwood,Pope County,5.437357288891589,45.6439,-95.3204,45.6502394,-95.3897582
KGNA0,Grand Marais,Cook County,0.8127937055402608,47.7472,-90.3444,47.750467,-90.334675
KGPZ0,Grand Rapids,Itasca County,3.457513260801067,47.2093,-93.5099,47.237166,-93.530214
KHCD0,Glencoe,McLeod County,20.82231161183991,44.8599,-94.3825,44.7691886,-94.1515671
KHCO0,Hallock,Kittson County,2.4290296525385133,48.7527,-96.943,48.7744263,-96.946447
KHZX0,Aitkin,Aitkin County,7.777355009628807,46.6188,-93.3098,46.5714822,-93.3847595
KJKJ0,Moorhead,Clay County,7.842419210925177,46.8393,-96.664,46.8739081,-96.7538674
KJMR0,Mora,Kanabec County,1.9887700714060854,45.8861,-93.2718,45.8769031,-93.2938352
KLJF0,Litchfield,Meeker County,3.739154252936228,45.1,-94.5,45.1271847,-94.5280474
KLVN0,Shakopee,Scott County,30.25395716392308,44.6279,-93.2281,44.7980186,-93.5268986
KLXL0,Little Falls,Morrison County,3.2249902139396074,45.9494,-94.3471,45.9763545,-94.3625024
KMGG0,Buffalo,Wright County,11.237844151271045,45.236,-93.9856,45.1719084,-93.8746941
KMIC0,Minneapolis,Hennepin County,11.705341975512056,45.062,-93.3539,44.9772995,-93.2654692
KMJQ0,Jackson,Jackson County,13.344430554134352,43.65,-94.9865,43.670011,-95.1500626
KMKT0,Mankato,Blue Earth County,9.179313019930957,44.2228,-93.9193,44.1634663,-93.9993505
KMML0,Marshall,Lyon County,4.799432781460352,44.4517,-95.8244,44.41,-95.84
KMOX0,Morris,Stevens County,4.707933228995226,45.566,-95.9672,45.586072,-95.913941
KMVE0,Montevideo,Chippewa County,3.133987231410051,44.9691,-95.7103,44.942523,-95.723559
KMWM0,Windom,Cottonwood County,5.266863276616901,43.9134,-95.1094,43.8663464,-95.1169366
KMZH0,Carlton,Carlton County,19.067419953346302,46.4186,-92.8048,46.5799933,-92.7206334
KONA0,Winona,Winona County,14.442986131489544,44.0772,-91.7083,43.9582272,-91.7807784
KORB0,International Falls,Koochiching County,76.90878018682159,48.0159,-92.8561,48.601033,-93.4105904
