Station,County
72655,Benton County
72747,Koochiching County
72658,Dakota County
72745,Saint Louis County
KAXN0,Douglas County
KHIB0,Saint Louis County
KSTP0,Ramsey County
KBDE0,Lake of the Woods County
KPKD0,Hubbard County
KCFE0,Wright County
KFFM0,Otter Tail County
KPEX0,Stearns County
KACQ0,Waseca County
KADC0,Otter Tail County
KAIT0,Aitkin County
KAQP0,Swift County
KAUM0,Mower County
KBBB0,Swift County
KBFW0,Lake County
KBRD0,Crow Wing County
KCBG0,Isanti County
KCKC0,Cook County
KCKN0,Polk County
KCOQ0,Carlton County
KCQM0,Saint Louis County
KDTL0,Becker County
KDXX0,Lac qui Parle County
KDYT0,Saint Louis County
KELO0,Saint Louis County
KETH0,Traverse County
KEVM0,Saint Louis County
KFBL0,Rice County
KFGN0,Lake of the Woods County
KFKA0,Fillmore County
KFOZ0,Itasca County
KFRM0,Martin County
KFSE0,Polk County
KGHW0,Pope County
KGNA0,Cook County
KGPZ0,Itasca County
KHCD0,McLeod County
KHCO0,Kittson County
KHZX0,Aitkin County
KJKJ0,Clay County
KJMR0,Kanabec County
KLJF0,Meeker County
KLVN0,Dakota County
KLXL0,Morrison County
KMGG0,Wright County
KMIC0,Hennepin County
KMJQ0,Jackson County
KMKT0,Blue Earth County
KMML0,Lyon County
KMOX0,Stevens County
KMVE0,Chippewa County
KMWM0,Cottonwood County
KMZH0,Carlton County
KONA0,Winona County
KORB0,Saint Louis County
KOTG0,Nobles County
KOVL0,Renville County
KOWA0,Steele County
KPNM0,Mille Lacs County
KPQN0,Pipestone County
KPWC0,Cass County
KRGK0,Pierce County
KROS0,Chisago County
KRRT0,Roseau County
KSAZ0,Wadena County
KSGS0,Dakota County
KTOB0,Dodge County
KULM0,Brown County
KVVV0,Big Stone County
KAEL0,Freeborn County
KFCM0,Hennepin County
KGYL0,McLeod County
KXVG0,Cass County
KJYG0,Watonwan County
KTWM0,Lake County
KGDB0,Yellow Medicine County
KLYV0,Rock County
KSYN0,Goodhue County
KTKC0,Lyon County
KCDD0,Saint Louis County
KCNB0,Yellow Medicine County
KBDH0,Kandiyohi County
KRYM0,Morrison County
KY630,Grant County
KD390,Stearns County
KY490,Cass County
P6529,Roseau County
UYB6K,Pennington County
X9FED,Beltrami County
9NRIJ,Anoka County
Z7ZOG,Redwood County
72644,Olmsted County
72755,Beltrami County
